file_name,rwcount,spatial_count,br_count,br_rect_ratio,requiredFromBRDD,duplicates,duplicate_ratio,avgMBRArea,avgLenX,avgLenY,E_0,E_2,TT_area,TT_margin,TT_overlap,num_partition,load_balanceO,load_balance_new,load_balance_brdd,file_name2,rwcount2,spartial_count2,br_count2,br_rect_ratio2,requiredFromBRDD2,duplicates2,duplicate_ratio2,avgMBRArea2,avgLenX2,avgLenY2,E_02,E_22,TT_area2,TT_margin2,TT_overlap2,num_partition2,load_balanceO2,load_balance_new2,load_balance_brdd2,overlapMBRFirstDS,overlapMBRSecondDS,jaccardSimilarity,elaspsedTimeOld, elaspsedTimeNew, joinCard,UseNewM
spodata: uniform_100000_003_PL3.wkt,100000,101831,1816,0.01816,0,1831,0.01831,9.04E-06,0.00300757,0.003004335,-1.958294618,-5.118737851,12.09768827,19.62820238,93.4878822,16,16.09644344,16.02857012,4.043676741,uniform_50000_002_PL2.wkt,50000,50626,622,0.01244,0,626,0.01252,4.00E-06,0.001995164,0.002007688,-1.958294618,-4.692759048,6.005422049,9.777897851,46.2825904,16,11.41385402,11.42145175,2.900825916,1,1,1,0.032779549,0.033666994,10455,0
spodata: uniform_100000_003_PL3.wkt,100000,101805,1790,0.0179,0,1805,0.01805,9.04E-06,0.00300757,0.003004335,-1.958294618,-5.118737851,12.21273436,19.66108292,94.76207043,16,11.08250665,10.96371835,4.036287912,uniform_50000_01_PL1.wkt,50000,53060,2964,0.05928,0,3060,0.0612,1.01E-04,0.010008984,0.009995027,-1.958294618,-4.693072771,6.365921125,10.03892441,50.21254142,16,8.39342176,8.052008445,5.471987306,0.974512707,1,0.974512707,0.018723059,0.036339906,460,0
spodata: uniform_100000_003_PL3.wkt,100000,101833,1819,0.01819,0,1833,0.01833,9.04E-06,0.00300757,0.003004335,-1.958294618,-5.118737851,12.63629283,20.05852076,101.3829754,16,9.1437193,9.206734492,4.391443026,uniform_50000_03_PL3.wkt,50000,59360,8562,0.17124,0,9360,0.1872,9.02E-04,0.030110097,0.029915506,-1.958294618,-4.692977033,7.387512787,10.85041498,62.78510263,16,6.194298961,7.017292925,9.26934803,0.904098921,1,0.904098921,0.031089749,0.100074871,47,0
spodata: uniform_100000_003_PL3.wkt,100000,101806,1791,0.01791,0,1806,0.01806,9.04E-06,0.00300757,0.003004335,-1.958294618,-5.118737851,13.24347804,20.58057911,108.0884298,16,14.93882384,15.01532351,5.014607362,uniform_50000_001_PL1.wkt,50000,50317,317,0.00634,0,317,0.00634,1.01E-06,0.001002765,0.001001463,-1.958294618,-4.693153701,6.543583097,10.22908492,53.17762398,16,10.43810383,10.45290582,2.291804078,1,1,1,0.026282899,0.026127731,22304,1
spodata: uniform_100000_003_PL3.wkt,100000,101815,1805,0.01805,0,1815,0.01815,9.04E-06,0.00300757,0.003004335,-1.958294618,-5.118737851,13.56355897,20.7833737,112.1864498,16,14.17339289,14.28930369,5.226132927,uniform_50000_02_PL2.wkt,50000,56165,5818,0.11636,0,6165,0.1233,3.98E-04,0.019945996,0.019978094,-1.958294618,-4.693151531,7.468671534,10.90898746,63.8984726,16,10.27428607,11.11409376,9.276453816,0.93840137,1,0.93840137,0.062171984,0.080560653,101,0
spodata: uniform_100000_003_PL3.wkt,100000,101770,1753,0.01753,0,1770,0.0177,9.04E-06,0.00300757,0.003004335,-1.958294618,-5.118737851,12.59500488,20.07120067,100.5661792,16,7.129356857,7.14783044,4.139123645,uniform_50000_003_PL3.wkt,50000,50857,845,0.0169,0,857,0.01714,8.96E-06,0.002998029,0.002994888,-1.958294618,-4.692813762,6.287778557,10.02835413,50.17950121,16,4.96792512,4.954521168,3.217371488,0.999949081,1,0.999949081,0.020078218,0.021729791,4934,0
spodata: uniform_200000_02_PL2.wkt,200000,224801,23342,0.11671,0,24801,0.124005,3.99E-04,0.01997873,0.019960017,-1.958294618,-5.54476621,14.64646232,21.58259007,125.1131063,16,14.98517305,17.11755532,16.3352127,uniform_100000_02_PL2.wkt,100000,112591,11847,0.11847,0,12591,0.12591,3.97E-04,0.020021203,0.019897257,-1.958294618,-5.119012334,7.316005797,10.78611574,62.5054097,16,10.74758703,12.50089837,11.97380092,0.999584737,1,0.999584737,0.398645282,0.712264159,877291,0
spodata: uniform_200000_02_PL2.wkt,200000,224840,23458,0.11729,0,24840,0.1242,3.99E-04,0.01997873,0.019960017,-1.958294618,-5.54476621,13.11702634,20.54770317,103.7718419,16,17.46449826,13.55519531,14.25697437,diagonal_100000_01_PL1.wkt,100000,105928,5542,0.05542,0,5928,0.05928,9.99E-05,0.009973462,0.01001599,-1.862055002,-5.778172391,5.527981049,8.547760544,38.14136527,16,107.693521,107.1890297,21.7621903,1,1,1,0.80230977,1.038613241,2677669,0
spodata: uniform_200000_02_PL2.wkt,200000,223853,22571,0.112855,0,23853,0.119265,3.99E-04,0.01997873,0.019960017,-1.958294618,-5.54476621,13.44300358,20.07767303,104.5837429,15,19.548963,19.20956103,16.40789843,diagonal_100000_02_PL2.wkt,100000,113048,11890,0.1189,0,13048,0.13048,3.99E-04,0.01997349,0.020000572,-1.870948756,-5.780553565,5.94954487,8.592471976,40.84938993,15,93.53019989,92.19927408,30.2340909,0.999809238,1,0.999809238,0.724850962,1.348395778,878601,0
spodata: uniform_200000_02_PL2.wkt,200000,224809,23382,0.11691,0,24809,0.124045,3.99E-04,0.01997873,0.019960017,-1.958294618,-5.54476621,14.8554676,21.64482328,127.1359336,16,18.60352397,20.02273008,17.20248772,uniform_100000_001_PL1.wkt,100000,100624,622,0.00622,0,624,0.00624,9.97E-07,9.97E-04,9.99E-04,-1.958294618,-5.118425241,6.646754531,10.22553309,54.74837334,16,12.7177418,12.76629625,2.984956925,1,1,1,0.336929596,0.37058138,7121480,0
